@RELATION gbDE
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {delia,eating,drink}

@DATA
0.106600,0.003002,2.907789,0.254836,0.233541,0.855142,0.052936,0.160713,-36.482090,0.444406,0.041721,0.262523,0.214332,-0.014321,0.274015,0.027163,-0.180690,0.099894,0.088824,0.001433,0.141592,0.001013,0.000702,0.007202,0.001199,0.080566,0.001594,0.097746,0.000453,0.000528,0.000723,0.002420,0.000607,0.041860,0.121631,0.005986,0.358762,0.142822,0.122968,1.046467,0.204719,0.267332,8.613558,1.485025,0.277107,0.267860,0.193684,0.293078,0.317908,0.139531,0.224157,0.223875,0.200098,0.128364,0.158140,0.001019,0.000874,0.008033,0.001891,0.065573,0.002768,0.135665,0.000622,0.000555,0.000951,0.002737,0.001267,0.033258,eating
0.054606,0.000372,2.787178,0.215288,0.256415,0.446201,0.012835,0.066461,-32.838467,1.479629,0.517341,0.534969,0.192230,0.180715,0.078932,0.237115,0.075519,0.148959,0.177427,0.054249,0.112765,0.001964,0.000758,0.037170,0.001909,0.061069,0.001242,0.176163,0.000543,0.001160,0.002536,0.014152,0.000688,0.056887,0.039450,0.000722,0.324123,0.035606,0.028921,0.498390,0.011827,0.100374,1.781289,0.905257,0.404498,0.293610,0.281459,0.266699,0.225780,0.198775,0.188149,0.162912,0.162959,0.148682,0.141302,0.002413,0.001100,0.039529,0.002187,0.039597,0.001411,0.104095,0.000886,0.001632,0.002864,0.013580,0.000858,0.024512,eating
0.175411,0.003502,2.723402,0.235398,0.169085,1.587958,0.015940,0.267351,-37.337938,-0.479193,0.122664,0.177486,-0.068842,-0.175373,-0.009963,-0.030266,-0.117467,-0.001511,-0.039422,0.030328,0.077554,0.002556,0.001954,0.005071,0.003525,0.005023,0.004536,0.045687,0.001805,0.002903,0.002441,0.005224,0.001575,0.013933,0.080182,0.007971,0.597351,0.094220,0.066775,0.667509,0.052496,0.146184,6.238657,0.845758,0.397560,0.327583,0.279864,0.275047,0.276353,0.229013,0.215077,0.198987,0.183938,0.170208,0.157100,0.002961,0.002088,0.007483,0.005216,0.007387,0.005672,0.043605,0.001722,0.003863,0.002667,0.008014,0.001437,0.012229,eating
0.229102,0.002778,2.284095,0.293388,0.214528,1.981368,0.001653,0.413740,-31.283104,-1.075965,0.031608,0.356523,0.006852,-0.274069,-0.155258,0.019660,-0.190572,-0.099221,0.153699,0.033149,0.100956,0.003175,0.002941,0.008115,0.005551,0.008448,0.003578,0.018831,0.002326,0.002330,0.002729,0.002587,0.001378,0.006005,0.074593,0.005902,0.848948,0.066535,0.037013,0.464215,0.000781,0.175126,4.141525,1.384939,0.459041,0.349023,0.327347,0.295677,0.195952,0.244486,0.210551,0.277223,0.239044,0.252381,0.201035,0.002517,0.002081,0.009103,0.003515,0.015046,0.003093,0.030202,0.001939,0.002753,0.002001,0.002805,0.001149,0.008294,eating
0.499161,0.166819,3.317693,0.500473,0.288635,3.316852,0.000454,0.899294,-21.804089,-0.056974,-0.008258,0.010349,0.014965,0.002073,0.007522,-0.000605,-0.000567,0.003355,0.000275,0.001883,0.006747,0.001501,0.001199,0.002169,0.001508,0.001658,0.001528,0.002646,0.001237,0.001419,0.001602,0.001691,0.001236,0.000679,0.013088,0.004134,0.001899,0.000302,0.002707,0.003326,0.000026,0.007906,0.130868,0.136615,0.132073,0.138185,0.139902,0.136307,0.130247,0.130605,0.136783,0.136992,0.132509,0.132866,0.127069,0.000539,0.000478,0.000709,0.000528,0.000527,0.000554,0.000810,0.000497,0.000523,0.000560,0.000595,0.000493,0.000166,eating
0.439100,0.084130,3.270309,0.449673,0.259757,2.986144,0.024753,0.809271,-25.412997,-0.049489,0.006623,0.002652,0.010621,0.025248,-0.025576,-0.008491,0.031823,0.032831,0.014650,0.001203,0.026428,0.001379,0.001089,0.002073,0.001309,0.001446,0.001363,0.018897,0.001044,0.001345,0.001488,0.001569,0.001157,0.005239,0.068613,0.012754,0.149645,0.064187,0.036947,0.405489,0.073059,0.115788,3.487672,0.160885,0.127639,0.137091,0.144811,0.134836,0.139100,0.129900,0.128417,0.163413,0.120144,0.134712,0.118410,0.000651,0.000497,0.001104,0.000658,0.000582,0.000718,0.020762,0.000475,0.000656,0.000669,0.000692,0.000612,0.005707,eating
0.064800,0.000596,2.821151,0.228756,0.257013,0.489166,0.025797,0.086397,-32.310091,1.124188,0.228583,0.380870,-0.028516,0.222726,0.017687,0.148522,0.017890,0.074539,0.072108,0.046245,0.031685,0.000999,0.000448,0.095594,0.000928,0.001702,0.000897,0.158013,0.000360,0.000592,0.001080,0.003673,0.000494,0.055176,0.046963,0.000751,0.290811,0.052962,0.022299,0.387419,0.027178,0.095411,1.713241,0.600151,0.278962,0.217841,0.195820,0.165726,0.158283,0.153769,0.146804,0.131722,0.130815,0.127090,0.125436,0.001083,0.000546,0.037353,0.001085,0.001718,0.001143,0.117571,0.000479,0.000705,0.001066,0.003736,0.000628,0.024035,eating
0.006205,0.106384,2.861618,0.101896,0.199302,0.029544,0.011443,0.004867,-24.815565,2.682555,0.483395,0.597425,0.255749,0.250724,0.243107,0.203209,0.084640,0.089387,0.097774,0.109556,0.069483,0.002119,0.000395,0.174493,0.001139,0.019838,0.000818,0.215105,0.000111,0.000437,0.003041,0.019685,0.000262,0.078736,0.004469,0.055540,0.166796,0.023567,0.024920,0.019630,0.008170,0.001931,1.121857,0.259261,0.290215,0.207540,0.179819,0.142741,0.162992,0.156757,0.136103,0.119446,0.115316,0.130179,0.134708,0.002110,0.000534,0.087673,0.000976,0.009824,0.000865,0.069183,0.000114,0.000468,0.003092,0.017764,0.000232,0.009532,drink
0.004349,0.093870,2.906031,0.102995,0.201923,0.025981,0.009397,0.003858,-25.231038,2.562955,0.462840,0.585711,0.286040,0.322819,0.208060,0.126074,0.079772,0.103909,0.067169,0.115653,0.066289,0.001524,0.000147,0.178770,0.000930,0.018576,0.000714,0.228825,0.000095,0.000355,0.001825,0.012996,0.000189,0.080701,0.003505,0.041418,0.162028,0.024448,0.026768,0.016839,0.006723,0.001501,1.149070,0.218719,0.229469,0.158240,0.145498,0.150369,0.147164,0.105889,0.128872,0.131472,0.108862,0.113119,0.111424,0.001621,0.000137,0.077117,0.000839,0.009264,0.000974,0.060811,0.000082,0.000360,0.001749,0.011920,0.000144,0.008071,drink
0.005188,0.048029,2.855270,0.101543,0.200142,0.027736,0.012814,0.004477,-26.377022,2.635843,0.577397,0.605920,0.294122,0.288315,0.206694,0.175168,0.079923,0.109681,0.066890,0.057777,0.080898,0.001531,0.000155,0.184984,0.001133,0.019888,0.000673,0.214526,0.000112,0.000284,0.002361,0.015194,0.000183,0.079012,0.004029,0.024680,0.119904,0.022934,0.024772,0.023681,0.010559,0.003348,1.251284,0.299424,0.278489,0.148960,0.167435,0.134172,0.143310,0.122488,0.131839,0.105955,0.094047,0.132742,0.176483,0.001307,0.000136,0.078701,0.001159,0.011601,0.000796,0.064249,0.000179,0.000275,0.002951,0.013572,0.000189,0.008237,drink
0.004990,0.075652,2.902582,0.102310,0.198764,0.031021,0.013013,0.004216,-25.722828,2.654716,0.503660,0.569001,0.322881,0.306996,0.212491,0.166445,0.039248,0.104454,0.088400,0.071650,0.092481,0.001654,0.000176,0.186324,0.001083,0.016465,0.000751,0.221917,0.000117,0.000356,0.002388,0.014853,0.000211,0.082055,0.003522,0.036025,0.134563,0.030149,0.029935,0.030571,0.010612,0.001541,1.486490,0.302939,0.260862,0.177394,0.184255,0.140417,0.175321,0.107530,0.114485,0.114777,0.120864,0.112379,0.144121,0.001652,0.000170,0.084351,0.001069,0.009521,0.000795,0.072888,0.000118,0.000347,0.002389,0.013899,0.000202,0.010122,drink
0.008967,0.086653,2.789000,0.094117,0.185343,0.032253,0.012338,0.004495,-25.185055,2.563418,0.563252,0.636219,0.319680,0.241856,0.211029,0.109486,0.123226,0.079537,0.119186,0.182299,0.143526,0.001623,0.000164,0.139387,0.000882,0.014275,0.000579,0.259928,0.000088,0.000498,0.001956,0.023630,0.000223,0.082765,0.004847,0.032300,0.172494,0.021733,0.023058,0.022731,0.006020,0.001358,0.767544,0.230433,0.182828,0.150452,0.134314,0.120498,0.112117,0.117385,0.140939,0.137508,0.113610,0.115225,0.102560,0.001281,0.000144,0.071052,0.000956,0.007245,0.000513,0.066335,0.000088,0.000480,0.001733,0.014753,0.000188,0.010564,drink
0.009443,0.031169,2.815576,0.097153,0.188186,0.040290,0.011854,0.007089,-26.458819,2.563325,0.460808,0.552095,0.273386,0.328326,0.206110,0.055532,-0.075978,0.066091,0.168783,0.179596,0.187523,0.001752,0.000185,0.128892,0.001654,0.012743,0.001018,0.277673,0.000122,0.000497,0.001730,0.020169,0.000248,0.087767,0.006939,0.012793,0.180941,0.028787,0.029439,0.048702,0.007024,0.008305,0.889336,0.298958,0.216347,0.137607,0.176547,0.150782,0.151328,0.186856,0.180749,0.139220,0.144224,0.211106,0.163969,0.001830,0.000198,0.091543,0.002130,0.006865,0.000899,0.087212,0.000138,0.000475,0.001482,0.017678,0.000267,0.013879,drink
0.007568,0.077429,2.826763,0.098150,0.192042,0.030329,0.012593,0.004029,-25.351572,2.616846,0.400245,0.530360,0.287192,0.326447,0.220556,0.027526,-0.053851,0.084621,0.140027,0.203253,0.125849,0.001296,0.000147,0.162974,0.000935,0.015495,0.000980,0.254035,0.000140,0.000413,0.001561,0.012973,0.000193,0.088468,0.005148,0.027184,0.150860,0.025019,0.028359,0.026468,0.007429,0.001607,0.959651,0.196967,0.202596,0.149362,0.158111,0.120221,0.127875,0.155390,0.121636,0.116333,0.134846,0.132793,0.136597,0.001362,0.000144,0.094340,0.000837,0.009049,0.000789,0.080206,0.000176,0.000323,0.001372,0.011281,0.000158,0.010001,drink
0.016419,0.021231,2.844039,0.113635,0.195066,0.080538,0.012240,0.010108,-26.079325,2.426321,0.512766,0.558888,0.281143,0.126761,0.156679,0.003659,0.037665,0.100319,0.146980,0.192654,0.044453,0.002499,0.000303,0.172862,0.001952,0.017665,0.002114,0.208350,0.000318,0.000675,0.003555,0.019552,0.000527,0.077501,0.011945,0.009695,0.177190,0.026782,0.024167,0.101204,0.007207,0.016187,0.695106,0.319181,0.180981,0.205021,0.194609,0.158408,0.161911,0.159215,0.115667,0.162483,0.158852,0.151005,0.141697,0.002021,0.000380,0.091924,0.002131,0.010781,0.001946,0.077050,0.000789,0.000626,0.003726,0.015580,0.000751,0.012448,drink
0.007788,0.015194,2.858178,0.105704,0.201171,0.040295,0.009430,0.005803,-27.222176,2.576869,0.354209,0.524715,0.252702,0.248838,0.173054,0.097555,0.037442,0.113637,0.085244,0.121355,0.056970,0.001741,0.000322,0.156724,0.001019,0.015915,0.001370,0.236096,0.000202,0.000557,0.003507,0.019153,0.000297,0.079046,0.005569,0.007771,0.155851,0.024139,0.026600,0.047705,0.005795,0.006038,1.077464,0.286649,0.201214,0.183062,0.201723,0.196076,0.158207,0.155923,0.147535,0.173128,0.152980,0.152643,0.115182,0.001702,0.000353,0.079226,0.000863,0.007932,0.001481,0.064360,0.000351,0.000643,0.004762,0.013289,0.000343,0.009908,drink
